"xVOut2","VOut2","IOut2","xIOut2"
"1.3479978078976274","4.9818949699401855","",""
"1.3484373921528459","4.994326114654541","",""
"1.3495569583028555","4.985775947570801","",""
"1.349997823126614","4.98187255859375","",""
"1.350437174551189","4.994276523590088","",""
"1.3515567407011986","4.985674858093262","",""
"1.3519978383556008","4.981751441955566","",""
"1.352439634501934","4.994198322296143","",""
"1.3535598991438746","4.985602855682373","",""
"1.3539978535845876","4.9817094802856445","",""
"1.354438834823668","4.994145393371582","",""
"1.3553495518863201","4.986988067626953","",""
"1.3559978688135743","4.981622219085693","",""
"1.3564398977905512","4.994078159332275","",""
"1.3575535267591476","4.985533237457275","",""
"1.3579977676272392","4.981592178344727","",""
"1.3584407279267907","4.994068145751953","",""
"1.3591082533821464","4.9882707595825195","",""
"1.359997782856226","4.981614589691162","",""
"1.3604387640953064","4.994051933288574","",""
"1.3611064059659839","4.98823881149292","",""
"1.3619977980852127","4.98154878616333","",""
"1.3624404091387987","4.994015216827393","",""
"1.3630322646349669","4.9885478019714355","",""
"1.3639978133141994","4.981542587280273","",""
"1.3644404243677855","4.994017124176025","",""
"1.3648407766595483","4.989215850830078","",""
"1.3659978285431862","4.981566429138184","",""
"1.3664382277056575","4.993992805480957","",""
"1.3668397441506386","4.9891743659973145","",""
"1.367997843772173","4.981478214263916","",""
"1.3684399891644716","4.993935585021973","",""
"1.3688387116417289","4.989124774932861","",""
"1.3699978590011597","4.981441020965576","",""
"1.370445010252297","4.994022846221924","",""
"1.370583544485271","4.989808082580566","",""
"1.3719978742301464","4.9817280769348145","",""
"1.372440834529698","4.994246482849121","",""
"1.372509985230863","4.990249156951904","",""
"1.3739977730438113","4.98191499710083","",""
"1.3744370080530643","4.994336128234863","",""
"1.375997788272798","4.981863975524902","",""
"1.3764379546046257","4.9942827224731445","",""
"1.3779978035017848","4.981770992279053","",""
"1.3782595051452518","4.990339756011963","",""
"1.3784399488940835","4.994225978851318","",""
"1.3799978187307715","4.981740474700928","",""
"1.3802722096443176","4.990565299987793","",""
"1.3804390328004956","4.994182109832764","",""
"1.3819978339597583","4.981684684753418","",""
"1.382265007123351","4.990363121032715","",""
"1.3824386987835169","4.994113445281982","",""
"1.383997849188745","4.9815874099731445","",""
"1.3840021565556526","4.985177040100098","",""
"1.384444534778595","4.994146347045898","",""
"1.3859907630831003","4.981881141662598","",""
